id,manufacturer,model,transmission,color,odometer,year,engineFuel,engineType,engineCapacity,bodyType,drivetrain,photos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
94,Jeep,Grand Cherokee,automatic,black,260000,2005,gasoline,gasoline,3.7,suv,rear,8,False,True,False,False,False,False,False,False,False,True
95,Toyota,Picnic,mechanical,blue,450000,1998,diesel,diesel,2.2,minivan,front,12,False,True,True,True,True,False,False,False,False,True
96,Mazda,6,automatic,black,76000,2014,gasoline,gasoline,2.0,sedan,front,12,False,True,True,False,False,True,False,True,True,True
97,Volkswagen,Tiguan,automatic,silver,163000,2010,diesel,diesel,2.0,suv,all,1,False,True,True,True,True,True,False,False,True,True
98,Ford,Kuga,automatic,white,128000,2013,gasoline,gasoline,1.6,universal,all,9,False,True,False,True,False,True,False,True,True,True
99,Ford,Sierra,mechanical,grey,200000,1990,gasoline,gasoline,2.0,sedan,rear,11,False,False,False,False,False,False,False,False,False,True
100,Peugeot,405,mechanical,blue,300,1995,gasoline,gasoline,1.8,sedan,front,3,True,False,False,False,False,False,False,False,False,False
101,Peugeot,406,mechanical,blue,260000,1996,gasoline,gasoline,1.8,sedan,front,4,True,False,False,False,False,False,False,False,False,False
102,Mazda,CX-7,automatic,black,151278,2007,gasoline,gasoline,2.3,suv,all,4,False,True,True,True,True,True,True,True,True,True
103,Mercedes-Benz,ML280,automatic,silver,265000,2006,diesel,diesel,3.0,suv,all,11,False,True,True,True,True,True,True,True,True,True
104,Audi,A4,automatic,black,355000,2003,diesel,diesel,2.5,universal,front,4,False,True,False,False,True,True,False,False,False,True
105,Audi,Q5,automatic,grey,129000,2010,gasoline,gasoline,2.0,suv,all,5,False,True,False,True,False,True,False,False,False,False
106,BMW,316,mechanical,red,250000,1993,gasoline,gasoline,1.6,sedan,rear,7,False,False,False,False,True,False,False,False,False,True
107,Hyundai,Lantra,mechanical,silver,185500,1997,gasoline,gasoline,1.6,sedan,front,7,False,True,False,False,False,False,False,False,False,False
108,Toyota,Land Cruiser,mechanical,black,272000,2004,diesel,diesel,3.0,suv,all,6,False,True,False,False,True,True,False,False,True,True
109,Audi,S4,automatic,red,103000,2010,gasoline,gasoline,3.0,sedan,all,16,False,True,True,True,True,True,False,False,True,True
110,Mitsubishi,Colt,automatic,silver,198850,2007,gasoline,gasoline,1.3,hatchback,front,3,False,True,False,False,False,True,False,False,False,True
111,Renault,Megane Scenic,mechanical,green,428000,1997,diesel,diesel,1.9,hatchback,front,10,False,False,False,False,False,False,False,False,False,True
112,Opel,Vivaro,mechanical,red,285000,2007,diesel,diesel,2.5,minibus,front,14,False,True,False,True,False,True,True,False,True,False
113,Opel,Signum,mechanical,silver,400000,2003,diesel,diesel,3.0,hatchback,front,8,False,True,True,False,False,True,False,False,True,True
114,BMW,730,automatic,black,325000,1999,diesel,diesel,3.0,sedan,rear,5,False,True,True,True,True,True,True,True,True,True
115,Audi,A4,mechanical,black,298000,2007,diesel,diesel,2.0,universal,front,8,False,True,False,True,True,True,True,True,True,True
116,Volvo,S80,automatic,black,205000,2007,gasoline,gasoline,2.5,sedan,front,22,False,True,True,True,True,True,False,True,True,True
117,Peugeot,406,mechanical,blue,330000,2000,diesel,diesel,2.0,sedan,front,3,True,False,False,False,False,False,False,False,False,False
118,Infiniti,FX,automatic,black,289682,2005,gasoline,gasoline,3.5,suv,all,8,False,True,True,False,True,True,True,False,True,True
119,Mercedes-Benz,C180,mechanical,grey,186,2010,gasoline,gasoline,1.8,sedan,rear,3,False,False,True,True,False,True,True,True,True,True
120,BMW,318,mechanical,other,65000,1995,gasoline,gasoline,1.8,sedan,rear,7,False,False,False,False,True,False,False,False,False,True
121,Volkswagen,Polo Sedan,mechanical,silver,23,2019,gasoline,gasoline,1.6,sedan,front,6,False,True,False,True,False,True,True,True,False,True
122,BMW,X4,automatic,black,96357,2015,gasoline,gasoline,2.0,suv,all,18,False,True,True,False,True,True,True,False,True,True
123,Opel,Vectra,mechanical,violet,500000,1996,diesel,diesel,1.7,sedan,front,10,True,False,False,False,False,False,False,False,False,False
124,Chevrolet,Malibu,automatic,white,34000,2016,gasoline,gasoline,1.5,sedan,front,34,False,True,False,False,False,False,True,True,True,True
125,BMW,525,automatic,black,316000,2002,diesel,diesel,2.5,universal,rear,16,False,True,False,True,False,False,True,True,True,True
126,Skoda,Felicia,mechanical,white,114000,1998,gasoline,gasoline,1.3,hatchback,front,1,True,False,False,False,False,False,False,False,False,False
127,BMW,X5,automatic,other,290000,2004,gasoline,gasoline,4.4,suv,all,23,False,True,False,True,True,True,False,False,False,True
128,Volkswagen,Polo,mechanical,silver,90000,2011,gasoline,gasoline,1.4,hatchback,front,2,False,True,False,False,False,True,False,False,True,False
129,Mercedes-Benz,A140,mechanical,silver,200000,2002,gasoline,gasoline,1.4,hatchback,front,5,True,False,False,False,False,False,False,False,False,False
130,Fiat,Ulysse,mechanical,green,356000,2001,diesel,diesel,2.1,minivan,front,6,False,True,False,False,False,False,False,False,False,True
131,Citroen,Xantia,mechanical,white,340000,1999,gasoline,gasoline,1.8,hatchback,front,5,False,True,False,False,False,False,False,False,False,False
132,Mazda,6,mechanical,silver,149500,2006,gasoline,gasoline,2.3,sedan,all,19,False,True,True,False,True,True,False,True,True,True
133,BMW,X6,automatic,black,53000,2015,gasoline,gasoline,3.0,coupe,all,49,False,True,False,True,True,True,True,True,True,True
134,Renault,Grand Scenic,mechanical,blue,250000,2004,diesel,diesel,1.5,minivan,front,9,False,True,False,False,False,False,False,False,False,False
135,BMW,320,mechanical,red,350000,1993,gasoline,gasoline,1.8,sedan,rear,5,False,True,True,False,False,False,False,False,True,True
136,Toyota,Tundra,automatic,grey,130000,2012,gasoline,gasoline,4.0,pickup,rear,11,False,True,False,False,False,False,True,True,True,True
137,Audi,Q7,automatic,black,222222,2007,diesel,diesel,4.2,suv,all,9,False,True,True,True,True,True,True,True,True,True
138,Mitsubishi,Colt,mechanical,white,400000,1993,gasoline,gasoline,1.6,hatchback,front,5,True,False,False,False,False,False,False,False,False,False
139,BMW,320,automatic,green,324000,1995,gasoline,gasoline,2.0,sedan,rear,15,False,True,False,False,False,False,False,False,False,True
140,Honda,Civic,mechanical,red,350000,1991,gasoline,gasoline,1.5,sedan,front,16,False,False,False,False,False,False,False,False,False,True
141,Renault,Megane,mechanical,grey,289000,1997,gasoline,gasoline,1.6,sedan,front,19,False,True,False,False,False,False,False,False,False,False
142,Audi,A6,mechanical,black,240000,2008,diesel,diesel,2.0,universal,front,11,False,True,True,True,True,True,True,True,True,True
143,Audi,80,mechanical,other,392011,1985,gasoline,gasoline,1.6,sedan,front,6,True,False,False,False,False,False,False,False,False,False
144,Mazda,323,mechanical,silver,279300,2000,diesel,diesel,2.0,hatchback,front,8,True,False,False,False,False,False,False,False,False,False
145,BMW,745,automatic,silver,295000,2004,gasoline,gasoline,4.4,sedan,front,14,False,True,True,True,True,True,True,True,True,True
146,Opel,Meriva,mechanical,blue,201000,2004,gasoline,gasoline,1.6,hatchback,front,12,False,True,False,False,False,False,False,False,False,False
147,Ford,Transit,mechanical,white,255000,2001,diesel,diesel,2.0,van,front,6,True,False,False,False,False,False,False,False,False,False
148,Skoda,Octavia,mechanical,black,163128,2015,diesel,diesel,2.0,universal,front,11,False,True,True,True,False,True,True,True,True,True
149,Volkswagen,T3,mechanical,white,200020,1988,diesel,diesel,1.6,van,rear,4,True,False,False,False,False,False,False,False,False,False
150,Ford,Transit,mechanical,red,360000,2000,diesel,diesel,2.5,minibus,rear,6,True,False,False,False,False,False,False,False,False,False
151,Skoda,Superb,mechanical,grey,252414,2011,diesel,diesel,1.6,universal,front,19,False,True,False,True,False,False,True,True,True,True
152,Mercedes-Benz,C230,automatic,silver,240000,2001,gasoline,gasoline,2.3,coupe,rear,7,False,True,False,False,False,False,False,True,True,False
153,Volkswagen,Touran,automatic,black,245000,2006,diesel,diesel,1.9,minivan,front,9,False,True,False,True,False,True,False,False,True,False
154,Citroen,Xsara Picasso,automatic,silver,100000,2004,gasoline,gasoline,1.8,hatchback,front,26,False,True,False,False,False,False,False,False,True,False
155,Kia,Cee'd,automatic,blue,215000,2008,diesel,diesel,1.6,universal,front,7,False,True,False,True,False,True,False,False,False,True
156,Citroen,Berlingo,mechanical,blue,263000,2001,diesel,diesel,2.0,minivan,front,4,True,False,False,False,False,False,False,False,False,False
157,Ford,Galaxy,automatic,blue,189000,2010,diesel,diesel,2.0,minivan,front,10,False,True,False,True,False,True,True,True,True,True
158,Volkswagen,Passat,mechanical,other,380000,1990,gasoline,gasoline,1.8,universal,front,5,True,False,False,False,False,False,False,False,False,False
159,Mercedes-Benz,E320,automatic,black,250000,2003,gasoline,gasoline,3.2,sedan,rear,11,False,True,True,True,True,True,False,True,True,True
160,Audi,A6,automatic,grey,180000,2006,gasoline,gasoline,2.4,sedan,front,12,False,True,True,True,True,True,False,True,True,True
161,Volkswagen,Passat,automatic,black,200000,1998,gasoline,gasoline,1.8,sedan,front,13,False,False,False,False,True,False,False,False,False,True
162,Volkswagen,Golf,automatic,other,300000,1991,gasoline,gasoline,1.8,hatchback,front,4,True,False,False,False,False,False,False,False,False,False
163,Chevrolet,Aveo,mechanical,silver,128000,2012,gasoline,gasoline,1.6,sedan,front,9,False,True,False,True,False,True,False,True,True,True
164,Peugeot,407,mechanical,silver,319000,2004,diesel,diesel,2.0,universal,front,7,False,True,False,False,False,False,False,False,True,False
165,Subaru,Outback,mechanical,green,285000,2001,gasoline,gasoline,2.5,universal,all,12,True,False,False,False,False,False,False,False,False,False
166,BMW,X3,automatic,black,119000,2015,diesel,diesel,2.0,suv,all,8,True,False,False,False,False,False,False,False,False,False
167,Audi,A6,automatic,grey,435000,2004,diesel,diesel,3.0,sedan,all,16,False,True,True,True,True,True,True,True,True,True
168,BMW,320,mechanical,black,202000,2005,gasoline,gasoline,2.0,sedan,rear,27,False,True,False,True,True,True,False,False,True,True
169,Chery,Tiggo,mechanical,black,100000,2014,gasoline,gasoline,1.6,suv,front,5,False,True,True,True,False,True,False,False,False,True
170,Volkswagen,Passat,mechanical,blue,400000,1990,diesel,diesel,1.9,sedan,front,15,True,False,False,False,False,False,False,False,False,False
171,Peugeot,308,mechanical,grey,50000,2011,gasoline,gasoline,1.6,hatchback,front,8,False,False,True,False,False,True,False,False,False,True
172,Honda,Accord,mechanical,blue,330000,1994,gasoline,gasoline,2.0,sedan,front,12,False,False,False,False,False,False,False,False,False,True
173,Renault,Megane,mechanical,silver,255050,1997,gasoline,gasoline,1.6,hatchback,front,16,True,False,False,False,False,False,False,False,False,False
174,Skoda,Superb,mechanical,black,198431,2009,gasoline,gasoline,1.4,liftback,front,8,False,True,False,True,False,False,True,True,False,True
175,Mercedes-Benz,E350,automatic,white,124000,2012,gasoline,gasoline,3.5,sedan,all,28,False,True,True,True,True,True,True,True,True,True
176,Volkswagen,Polo Sedan,mechanical,silver,151600,2014,gasoline,gasoline,1.6,sedan,front,7,False,True,False,False,False,True,False,False,False,False
177,Mercedes-Benz,ML400,automatic,silver,300000,2002,diesel,diesel,4.0,suv,all,3,False,True,True,True,True,True,True,True,True,True
178,Mercedes-Benz,C180,mechanical,black,270000,2008,gasoline,gasoline,1.8,sedan,front,4,False,True,False,False,False,True,False,True,False,True
179,Volvo,V70,mechanical,other,317000,2001,diesel,diesel,2.4,universal,front,27,False,True,False,False,False,False,True,True,True,True
180,Toyota,Avensis Verso,mechanical,other,440000,2003,diesel,diesel,2.0,minivan,front,5,False,True,False,False,False,False,True,False,False,True
181,Nissan,Micra,mechanical,violet,170000,2011,gasoline,gasoline,1.2,hatchback,front,8,False,True,False,False,False,False,False,True,True,False
182,Volvo,S80,automatic,blue,126000,2015,diesel,diesel,1.6,sedan,front,13,False,False,False,True,True,True,True,True,True,True
183,Volkswagen,Golf,mechanical,silver,139000,2009,gasoline,gasoline,1.4,hatchback,front,1,False,True,False,False,False,False,True,True,True,True
184,Ford,Focus,mechanical,black,11187,2011,gasoline,gasoline,1.6,sedan,front,16,False,True,False,False,False,False,False,False,True,True
185,Ford,Transit,mechanical,silver,330000,1998,diesel,diesel,2.5,minibus,rear,8,True,False,False,False,False,False,False,False,False,False
186,Renault,Laguna,mechanical,red,370000,2002,diesel,diesel,1.9,universal,front,8,False,True,True,False,False,False,False,False,True,False
187,Volkswagen,Touareg,automatic,blue,78000,2011,gasoline,gasoline,3.6,suv,all,11,False,True,False,False,False,True,False,False,True,True
188,Toyota,Corolla,mechanical,silver,234000,2009,gasoline,gasoline,1.3,sedan,front,11,False,True,True,False,False,True,False,True,True,False
189,Lexus,RX,automatic,silver,185000,2006,gasoline,gasoline,3.5,suv,all,11,False,True,True,False,True,True,False,True,True,True
190,Nissan,X-Trail,automatic,black,150000,2010,gasoline,gasoline,2.5,suv,all,7,False,True,True,False,True,True,False,True,True,True
191,Ford,Transit,mechanical,white,370000,2002,diesel,diesel,2.0,minibus,front,4,False,True,False,False,False,True,False,False,True,True
192,Opel,Vectra,mechanical,white,325000,2008,diesel,diesel,1.9,universal,front,10,False,True,False,False,False,True,False,True,True,True
193,Audi,A4,automatic,white,160000,2011,gasoline,gasoline,1.8,sedan,front,11,False,True,True,True,False,True,False,False,True,False
194,Lexus,RX,automatic,silver,185000,2007,gasoline,gasoline,3.5,suv,all,2,False,True,True,True,True,True,False,False,True,True
195,Lancia,Lybra,mechanical,silver,300000,2000,gasoline,gasoline,1.6,sedan,front,18,False,True,True,False,True,False,False,False,True,False
196,Subaru,Legacy,automatic,silver,350000,2004,gasoline,gasoline,2.5,sedan,all,7,False,True,True,False,False,False,False,False,False,True
197,Kia,Cerato,mechanical,blue,204000,2008,gasoline,gasoline,1.6,sedan,front,1,False,True,False,False,False,True,True,True,True,True
198,Peugeot,308,mechanical,black,150000,2010,gasoline,gasoline,1.6,hatchback,front,13,False,True,False,True,False,True,False,False,False,True
199,Hyundai,Solaris,automatic,black,49200,2017,gasoline,gasoline,1.4,sedan,front,9,False,True,False,False,False,True,False,True,False,False
200,Audi,200,mechanical,silver,324567,1984,diesel,diesel,1.9,sedan,front,9,True,False,False,False,False,False,False,False,False,False
201,Toyota,Avensis,automatic,black,240000,2011,gasoline,gasoline,1.8,sedan,front,17,False,True,False,False,False,True,False,False,True,True
202,Renault,Scenic,mechanical,silver,225000,2009,diesel,diesel,1.5,minivan,front,8,False,True,False,False,False,False,False,False,True,False
203,Volkswagen,Polo Sedan,mechanical,white,117000,2012,gasoline,gasoline,1.6,sedan,front,9,True,False,False,False,False,False,False,False,False,False
204,Jaguar,XF,automatic,grey,107000,2010,gasoline,gasoline,3.0,sedan,rear,22,False,True,True,True,True,True,True,True,True,True
205,Mitsubishi,Space Star,mechanical,red,140000,2003,gasoline,gasoline,1.6,minivan,front,12,False,True,False,False,False,False,False,False,False,False
206,Volkswagen,T5 Multivan,mechanical,silver,282000,2008,diesel,diesel,2.5,minibus,front,10,False,True,False,True,False,False,False,False,True,True
207,Buick,Encore,mechanical,grey,80000,2014,gasoline,gasoline,1.4,suv,all,12,False,False,False,True,True,False,True,True,True,True
208,Opel,Vectra,mechanical,black,243000,2008,gasoline,gasoline,1.8,sedan,front,3,False,True,False,False,False,True,False,False,False,False
209,Renault,Duster,mechanical,black,139000,2013,gasoline,gasoline,2.0,suv,all,8,False,True,False,True,True,True,False,True,True,True
